itemid,boardid,userid,isSolvedTopic
15,27495,4685,0
16,28064,1106,1
16,28090,5980,1
25,28852,2450,0
16,33133,5980,0
15,33472,3020,0
16,34789,5354,0
16,35594,5224,1
38,36491,3834,1
16,36932,1240,0
25,37626,4590,0
15,37861,3718,1
16,38107,1973,0
15,38221,1365,1
15,38409,3569,1
16,39436,4680,1
16,39436,3898,1
16,39453,2140,1
16,39453,2624,1
16,40486,3376,1
25,41435,5294,0
46,41442,5624,0
46,41442,3826,0
16,41478,1499,1
15,42240,2721,1
38,42368,1619,1
17,42858,1279,1
25,42883,6351,1
40,45220,2721,0
16,45646,3746,1
16,45646,3898,1
16,47474,1680,0
43,48132,1303,0
40,48757,2566,0
40,48757,2721,0
40,48757,2566,0
16,49055,3746,1
16,49460,3564,0
16,50255,4774,1
16,50255,4470,1
16,51703,1499,1
16,51703,4685,1
15,52136,2140,0
25,56411,5646,1
25,56411,5316,1
15,57056,2126,0
15,57192,5292,1
55,58831,4694,0
17,59271,2236,0
16,59426,5294,0
17,60268,4016,0
17,60268,4713,0
17,60887,4985,1
38,60910,4288,0
15,61537,4685,1
40,61572,2126,0
17,62898,2236,0
16,64210,5432,0
38,65094,2033,1
15,65477,2721,0
16,67536,4726,0
16,68009,1855,1
15,68301,1489,0
15,69419,5980,0
38,70354,3834,0
16,71100,1214,0
16,72055,1106,0
18,72330,4439,0
25,72594,3645,0
25,72976,3645,0
16,73602,3410,1
16,74164,6262,0
15,75184,4996,0
38,75767,2572,0
17,76582,2039,0
16,76808,2015,0
16,79385,2039,0
16,79629,1303,1
38,79673,2721,1
38,83501,1803,1
38,83501,1855,1
16,83961,4685,1
38,84124,6396,1
17,84454,1724,1
15,85873,5800,1
15,86077,2063,1
17,86184,2039,0
38,87691,4015,0
16,88349,1406,0
16,88805,2251,1
25,90170,2126,1
25,90170,1174,1
16,90392,3036,1
16,91118,5565,1
25,92080,6351,1
25,92220,5398,1
15,92675,3595,1
38,93490,6396,0
46,96193,2831,0
16,96388,1279,1
22,97181,1774,1
16,98519,1279,1
16,99683,6501,0
15,100974,3898,1
38,102259,1027,0
16,102574,5980,0
25,103427,2917,1
18,106776,5790,0
18,108098,1303,1
18,110257,5497,0
16,112899,1365,1
35,113937,4196,0
15,114061,1355,1
27,114395,6351,1
47,114931,1240,0
16,115203,1803,0
15,116105,6354,0
33,117220,1450,1
25,117327,1618,0
15,117461,3095,1
15,117461,5752,1
15,117872,4783,0
46,118178,6311,0
38,119053,4012,0
16,120408,4769,0
16,120414,4487,1
15,121262,4778,1
38,125243,3881,1
22,127412,2061,1
17,127430,6501,1
17,129470,2039,0
38,130345,2061,0
38,132639,2840,0
16,133576,4945,1
15,134720,3898,1
38,135184,1329,1
41,135269,1852,0
15,135358,1570,1
22,135590,3881,1
50,136031,5261,1
16,136725,3353,1
50,137508,1630,1
46,138009,2831,0
16,138671,2251,1
50,139130,1630,0
38,139509,2773,1
38,139509,5232,1
38,139509,3375,1
38,139509,6040,1
38,139509,4214,1
38,139509,3375,1
50,139617,6255,1
16,140521,5980,0
16,140541,3898,1
50,141143,4495,1
27,141543,4749,0
16,144937,1240,0
50,145480,5350,1
16,146163,1279,1
38,146783,2033,0
55,148324,4694,1
41,148923,3405,0
25,149491,6351,1
16,149741,6262,1
41,150185,1456,0
29,150256,2022,0
50,151022,3329,0
38,151338,4654,0
46,151441,2087,1
17,152587,5264,1
38,153446,2883,1
41,153604,4223,0
41,153702,1852,1
41,153702,3375,1
41,153702,4015,1
15,154314,5666,0
18,154810,6486,1
50,155087,3353,0
46,155339,2831,0
50,156071,2916,1
50,156071,2143,1
50,156071,1581,1
22,156240,5583,1
38,157306,4216,0
15,157450,5816,1
15,157795,5859,1
38,157849,3036,1
16,159122,3336,1
50,159171,2351,0
18,159267,5033,0
18,159267,4016,0
18,159267,4713,0
17,159275,1499,1
17,159275,5980,1
16,160040,6200,1
17,161943,5775,1
15,162400,2515,1
29,162455,3527,1
16,163043,2015,0
50,164124,4511,0
38,164373,4680,1
29,165091,4196,1
33,165595,2624,0
16,167082,3898,0
15,167889,5043,1
15,167889,4264,1
16,167985,1735,1
16,168270,1701,0
38,168886,2061,1
50,169613,3353,1
15,169922,6200,1
46,170090,1699,0
16,170392,1131,0
50,171036,3206,0
18,171508,5790,0
41,171840,5624,0
15,172301,6436,1
15,172659,4003,1
50,172933,4255,0
22,173337,4255,1
22,174086,5752,1
50,174456,1322,1
50,175440,1735,1
16,176696,1466,1
16,176746,1466,1
38,177300,4015,1
50,178513,6501,1
46,178681,4091,0
16,179322,1279,1
50,179641,3206,1
16,179760,3843,1
50,180075,1843,1
50,180075,1581,1
50,180895,5376,0
38,181707,4214,0
22,181867,2054,1
22,181867,4015,1
29,182294,3457,1
38,182381,5002,1
29,183340,4147,1
46,183811,3253,1
41,184840,2286,0
22,185726,4255,0
38,185802,6262,0
16,185846,2721,1
113,186060,1452,0
22,186103,4255,0
17,186399,2236,0
50,186822,4381,1
38,187747,4439,1
40,188251,2721,0
38,188293,6262,0
15,188437,1619,0
46,188663,2098,1
38,189292,6396,1
40,189827,2721,1
41,190221,2219,0
15,191075,1489,0
16,191550,5354,0
29,192863,4734,0
22,194148,5495,0
41,195034,2219,0
25,195163,5398,1
17,195285,5505,1
50,195596,1232,0
15,197630,1279,1
25,198945,6351,1
18,199425,1618,1
46,200225,3353,1
15,200824,4266,1
15,201198,5043,1
33,203355,4761,0
33,203355,1620,0
16,203870,1641,0
25,203958,4669,0
33,203986,3902,1
16,205210,1279,1
46,205559,6434,1
15,206268,2286,0
38,206526,5398,1
38,206576,6396,0
16,207272,5505,1
33,207920,4761,1
18,208234,5497,1
46,208698,3733,1
25,208778,4761,1
25,208778,2997,1
50,208923,1630,1
41,209066,2219,0
22,209182,2402,0
38,209581,4255,0
113,209754,2653,0
15,210494,1515,0
16,212185,1279,1
16,212185,3898,1
41,212548,3576,0
33,213941,2997,1
38,214804,4216,0
33,215833,4761,0
16,217825,4487,1
22,218761,4255,0
89,219128,4495,0
186,220531,2008,0
186,220778,2676,0
186,221055,2737,0
186,221151,4015,0
186,221294,4277,0
186,221337,2916,0
186,221369,3905,0
186,221404,1939,0
186,221416,4615,0
186,221694,5140,0
186,221754,3329,0
186,221754,1581,0
186,221764,1843,0
186,221764,6040,0
186,221764,1843,0
186,221764,3329,0
127,221812,2234,0
127,221812,1641,0
127,221973,1641,0
127,222028,2208,0
186,223396,4439,0
186,223470,2224,0
186,223470,6271,0
186,223483,3905,0
186,223514,2981,0
186,223663,4778,0
186,223668,2721,0
186,223697,6271,0
186,223724,2164,0
186,223761,6271,0
186,223761,5012,0
186,223761,1167,0
186,223812,4216,0
186,223999,2676,0
186,224031,4951,0
186,224034,4216,0
8,224138,1521,0
15,224469,1655,1
15,225521,6427,1
127,225566,2397,0
29,225664,2949,0
16,225742,5043,1
15,225798,6427,1
33,225886,4761,1
8,226133,1529,0
8,226133,1521,0
38,226271,6200,0
15,226294,6200,0
29,226427,2949,0
15,226476,4177,1
15,226510,2949,0
35,226553,2949,0
27,226693,4774,1
89,227022,1843,0
89,227022,4255,0
15,227690,6456,0
15,227690,4713,0
15,227690,1511,0
15,227690,5043,0
15,227690,6016,0
15,227690,4713,0
15,227690,6354,0
29,227908,2949,0
15,228106,4470,1
15,228106,6016,1
186,228691,2029,0
113,228838,4216,0
113,228845,1452,0
113,228915,1452,0
41,228963,1397,0
29,229014,4306,1
38,229075,4255,0
38,229075,3834,0
113,229168,1452,0
29,229371,2949,0
113,229659,2007,0
186,229798,2676,0
186,229885,2872,0
186,229885,4255,0
38,230086,4255,0
9,230172,6193,0
186,230319,3427,0
186,230319,3036,0
186,230319,1278,0
33,230757,5495,0
46,230794,2831,1
29,230837,2949,1
29,230837,3285,1
29,230837,4306,1
89,230972,6193,0
89,230972,2872,0
89,230972,4255,0
15,231046,2981,0
16,231396,5775,1
41,231410,2474,0
41,231410,2723,0
33,231461,6021,0
186,231539,2981,0
186,231539,4937,0
127,231593,4258,0
15,231595,4742,0
46,231642,1843,0
46,231642,6040,0
46,231696,2917,1
46,231696,1515,1
22,231764,3692,1
22,231764,1701,1
22,231764,4470,1
22,231764,5364,1
22,231764,5216,1
38,231785,3733,0
29,231825,2949,0
29,231834,2949,0
16,231862,6148,0
15,231877,4278,0
17,231885,6148,0
16,231922,4989,1
16,231922,6148,1
16,231922,4597,1
33,231923,5495,0
46,231957,6148,1
46,231957,5644,1
186,232009,5012,0
186,232009,2676,0
186,232009,3506,0
17,232081,3881,0
18,232132,4439,1
18,232132,5333,1
18,232132,4439,1
15,232152,5216,1
15,232152,4439,1
15,232152,6016,1
15,232152,3142,1
15,232152,5176,1
15,232152,3142,1
15,232152,6354,1
15,232152,5176,1
15,232152,5125,1
15,232152,6016,1
15,232152,1453,1
27,232161,4749,0
46,232162,2872,0
46,232162,4783,0
22,232164,3807,0
38,232189,4214,0
17,232192,6148,0
89,232207,4893,0
16,232209,1228,1
16,232209,4991,1
16,232209,3807,1
15,232261,6148,0
22,232276,4783,0
22,232276,6016,0
50,232316,5204,0
38,232322,3733,0
16,232336,4742,1
25,232347,5593,0
46,232358,4091,0
46,232358,3375,0
50,232371,4304,0
50,232371,2029,0
22,232373,5583,1
50,232374,5216,0
50,232374,5012,0
50,232374,2029,0
41,232382,3617,0
29,232387,2981,0
29,232387,5680,0
15,232399,6148,0
15,232399,2321,0
25,232403,6148,1
25,232403,1843,1
17,232416,6148,1
17,232416,5216,1
25,232433,6456,0
29,232444,2362,0
29,232444,2981,0
29,232444,2362,0
17,232477,6148,0
17,232477,5216,0
38,232478,5089,0
38,232478,2773,0
38,232478,5232,0
38,232478,5089,0
38,232478,5125,0
38,232478,5089,0
38,232478,3733,0
15,232480,6148,1
15,232487,6148,0
15,232487,1590,0
17,232491,6148,0
17,232491,6176,0
18,232493,6040,0
18,232493,4304,0
15,232502,6148,1
15,232502,6456,1
50,232508,1843,0
50,232508,5485,0
15,232511,4778,0
38,232515,6148,0
38,232515,5125,0
17,232525,5216,1
16,232531,4470,1
16,232531,6148,1
16,232531,4917,1
16,232531,5216,1
16,232531,4783,1
15,232556,6148,0
17,232559,5176,1
17,232559,6148,1
17,232559,4774,1
17,232559,5292,1
22,232560,6148,1
16,232563,1279,1
16,232563,6148,1
127,232566,1641,0
127,232566,4502,0
127,232566,2848,0
127,232566,4258,0
127,232566,4395,0
127,232566,1641,0
127,232566,2397,0
16,232571,6148,1
16,232571,2158,1
16,232571,3898,1
16,232571,6016,1
16,232571,3898,1
16,232571,2158,1
16,232571,1453,1
16,232571,2158,1
16,232571,1453,1
16,232571,5485,1
16,232571,1453,1
29,232581,2949,0
29,232581,2362,0
16,232584,4937,0
16,232584,5485,0
22,232588,4547,0
22,232588,5292,0
22,232588,1365,0
22,232588,2158,0
22,232588,6148,0
22,232588,4713,0
22,232588,1365,0
22,232588,3807,0
41,232592,3617,1
41,232592,2981,1
41,232592,1852,1
41,232592,4783,1
41,232592,3375,1
41,232592,4015,1
29,232593,4470,1
29,232593,6456,1
29,232593,2981,1
29,232593,2362,1
15,232595,5364,1
15,232595,6148,1
15,232595,4713,1
10,232644,6148,0
10,232644,4774,0
10,232644,6193,0
10,232644,6040,0
10,232644,2981,0
10,232644,1511,0
10,232644,4783,0
10,232644,1511,0
10,232644,4783,0
10,232644,4713,0
10,232644,5292,0
10,232644,1511,0
10,232644,3807,0
15,232652,6193,1
15,232652,4783,1
15,232652,4774,1
15,232652,2158,1
15,232652,6148,1
15,232652,6193,1
15,232652,5216,1
15,232652,6193,1
25,232652,4774,1
25,232652,6193,1
50,232660,1843,0
50,232660,6148,0
50,232660,1843,0
50,232660,1581,0
